"DateTime";"Hinta"
"2023-03-30 15:00:00";5,32
"2023-03-30 16:00:00";5,45
"2023-03-30 17:00:00";5,12
"2023-03-30 18:00:00";7,12
"2023-03-30 19:00:00";6,21
"2023-03-30 20:00:00";5,45
"2023-03-30 21:00:00";4,84
"2023-03-30 22:00:00";4,63
"2023-03-30 23:00:00";4,28
"2023-03-31 00:00:00";3,78
"2023-03-31 01:00:00";4,1
"2023-03-31 02:00:00";4,17
"2023-03-31 03:00:00";4,07
"2023-03-31 04:00:00";4,14
"2023-03-31 05:00:00";4,36
"2023-03-31 06:00:00";4,53
"2023-03-31 07:00:00";4,8
"2023-03-31 08:00:00";6,39
"2023-03-31 09:00:00";8,26
"2023-03-31 10:00:00";10,69
"2023-03-31 11:00:00";13,24
"2023-03-31 12:00:00";8,81
"2023-03-31 13:00:00";8,16
"2023-03-31 14:00:00";6,26
"2023-03-31 15:00:00";5,5
"2023-03-31 16:00:00";5,24
"2023-03-31 17:00:00";5,1
"2023-03-31 18:00:00";6,75
"2023-03-31 19:00:00";7,82
"2023-03-31 20:00:00";7,23
"2023-03-31 21:00:00";5,29
"2023-03-31 22:00:00";4,5
"2023-03-31 23:00:00";3,94
"2023-04-01 00:00:00";3,3
"2023-04-01 01:00:00";4,35
"2023-04-01 02:00:00";4,03
"2023-04-01 03:00:00";3,85
"2023-04-01 04:00:00";3,91
"2023-04-01 05:00:00";3,87
"2023-04-01 06:00:00";3,89
"2023-04-01 07:00:00";3,78
"2023-04-01 08:00:00";4,71
"2023-04-01 09:00:00";5,5
"2023-04-01 10:00:00";6,49
"2023-04-01 11:00:00";5,45
"2023-04-01 12:00:00";5,07
"2023-04-01 13:00:00";4,51
"2023-04-01 14:00:00";4,25
"2023-04-01 15:00:00";3,69
"2023-04-01 16:00:00";4
"2023-04-01 17:00:00";4,46
"2023-04-01 18:00:00";5,36
"2023-04-01 19:00:00";5,85
"2023-04-01 20:00:00";5,85
"2023-04-01 21:00:00";5,42
"2023-04-01 22:00:00";4,84
"2023-04-01 23:00:00";4,36
"2023-04-02 00:00:00";3,76
"2023-04-02 01:00:00";4,9
"2023-04-02 02:00:00";4,8
"2023-04-02 03:00:00";4,78
"2023-04-02 04:00:00";4,83
"2023-04-02 05:00:00";5
"2023-04-02 06:00:00";5,38
"2023-04-02 07:00:00";5,5
"2023-04-02 08:00:00";4,91
"2023-04-02 09:00:00";5,51
"2023-04-02 10:00:00";6,35
"2023-04-02 11:00:00";5,68
"2023-04-02 12:00:00";5,39
"2023-04-02 13:00:00";4,75
"2023-04-02 14:00:00";2,94
"2023-04-02 15:00:00";2,71
"2023-04-02 16:00:00";2,82
"2023-04-02 17:00:00";3,5
"2023-04-02 18:00:00";5,23
"2023-04-02 19:00:00";10,03
"2023-04-02 20:00:00";11,08
"2023-04-02 21:00:00";9,35
"2023-04-02 22:00:00";8,55
"2023-04-02 23:00:00";6,72
"2023-04-03 00:00:00";6,04
"2023-04-03 01:00:00";7,84
"2023-04-03 02:00:00";7,5
"2023-04-03 03:00:00";7,71
"2023-04-03 04:00:00";7,88
"2023-04-03 05:00:00";8,52
"2023-04-03 06:00:00";11,55
"2023-04-03 07:00:00";14,77
"2023-04-03 08:00:00";17,93
"2023-04-03 09:00:00";17,46
"2023-04-03 10:00:00";12,3
"2023-04-03 11:00:00";10,46
"2023-04-03 12:00:00";9,53
"2023-04-03 13:00:00";8,91
"2023-04-03 14:00:00";8,24
"2023-04-03 15:00:00";7,88
"2023-04-03 16:00:00";8,47
"2023-04-03 17:00:00";8,8
"2023-04-03 18:00:00";10,77
"2023-04-03 19:00:00";11,84
"2023-04-03 20:00:00";16,39
"2023-04-03 21:00:00";16,65
"2023-04-03 22:00:00";14,66
"2023-04-03 23:00:00";12,4
"2023-04-04 00:00:00";10,46
"2023-04-04 01:00:00";9,45
"2023-04-04 02:00:00";9,69
"2023-04-04 03:00:00";9,9
"2023-04-04 04:00:00";9,91
"2023-04-04 05:00:00";11,85
"2023-04-04 06:00:00";12,1
"2023-04-04 07:00:00";12,98
"2023-04-04 08:00:00";19,23
"2023-04-04 09:00:00";19,03
"2023-04-04 10:00:00";14,88
"2023-04-04 11:00:00";12,71
"2023-04-04 12:00:00";11,99
"2023-04-04 13:00:00";11,7
"2023-04-04 14:00:00";11,61
"2023-04-04 15:00:00";11,52
"2023-04-04 16:00:00";11,67
"2023-04-04 17:00:00";11,97
"2023-04-04 18:00:00";12,77
"2023-04-04 19:00:00";13,09
"2023-04-04 20:00:00";13,13
"2023-04-04 21:00:00";13,97
"2023-04-04 22:00:00";13,29
"2023-04-04 23:00:00";12,58
"2023-04-05 00:00:00";12,08
"2023-04-05 01:00:00";11,04
"2023-04-05 02:00:00";10,85
"2023-04-05 03:00:00";10,71
"2023-04-05 04:00:00";10,71
"2023-04-05 05:00:00";12,04
"2023-04-05 06:00:00";12,46
"2023-04-05 07:00:00";13
"2023-04-05 08:00:00";16,5
"2023-04-05 09:00:00";18,86
"2023-04-05 10:00:00";14,57
"2023-04-05 11:00:00";12,75
"2023-04-05 12:00:00";12,26
"2023-04-05 13:00:00";12,11
"2023-04-05 14:00:00";12,13
"2023-04-05 15:00:00";12,09
"2023-04-05 16:00:00";12,09
"2023-04-05 17:00:00";12,1
"2023-04-05 18:00:00";12,26
"2023-04-05 19:00:00";12,27
"2023-04-05 20:00:00";12,14
"2023-04-05 21:00:00";10,43
"2023-04-05 22:00:00";8,85
"2023-04-05 23:00:00";7,45
"2023-04-06 00:00:00";6,61
"2023-04-06 01:00:00";8,26
"2023-04-06 02:00:00";8,49
"2023-04-06 03:00:00";9,15
"2023-04-06 04:00:00";9,39
"2023-04-06 05:00:00";9,84
"2023-04-06 06:00:00";10,12
"2023-04-06 07:00:00";12,63
"2023-04-06 08:00:00";12,94
"2023-04-06 09:00:00";12,99
"2023-04-06 10:00:00";12,9
"2023-04-06 11:00:00";12,31
"2023-04-06 12:00:00";11,28
"2023-04-06 13:00:00";10,66
"2023-04-06 14:00:00";10,01
"2023-04-06 15:00:00";9,69
"2023-04-06 16:00:00";9,85
"2023-04-06 17:00:00";10,18
"2023-04-06 18:00:00";10,7
"2023-04-06 19:00:00";10,65
"2023-04-06 20:00:00";9,83
"2023-04-06 21:00:00";9,61
"2023-04-06 22:00:00";9,12
"2023-04-06 23:00:00";7,71
"2023-04-07 00:00:00";6,21
"2023-04-07 01:00:00";6,55
"2023-04-07 02:00:00";6,6
"2023-04-07 03:00:00";6,89
"2023-04-07 04:00:00";7,24
"2023-04-07 05:00:00";7,62
"2023-04-07 06:00:00";7,15
"2023-04-07 07:00:00";5,58
"2023-04-07 08:00:00";5,41
"2023-04-07 09:00:00";5,7
"2023-04-07 10:00:00";6,6
"2023-04-07 11:00:00";6,67
"2023-04-07 12:00:00";6,23
"2023-04-07 13:00:00";5,82
"2023-04-07 14:00:00";5,29
"2023-04-07 15:00:00";5,19
"2023-04-07 16:00:00";5,21
"2023-04-07 17:00:00";5,37
"2023-04-07 18:00:00";6,15
"2023-04-07 19:00:00";6,8
"2023-04-07 20:00:00";6,77
"2023-04-07 21:00:00";6,51
"2023-04-07 22:00:00";5,83
"2023-04-07 23:00:00";5,63
"2023-04-08 00:00:00";5,98
"2023-04-08 01:00:00";4,72
"2023-04-08 02:00:00";4,8
"2023-04-08 03:00:00";4,86
"2023-04-08 04:00:00";4,99
"2023-04-08 05:00:00";5,11
"2023-04-08 06:00:00";5,26
"2023-04-08 07:00:00";5,21
"2023-04-08 08:00:00";5,28
"2023-04-08 09:00:00";5,61
"2023-04-08 10:00:00";5,9
"2023-04-08 11:00:00";6,19
"2023-04-08 12:00:00";5,83
"2023-04-08 13:00:00";5,51
"2023-04-08 14:00:00";5,38
"2023-04-08 15:00:00";5,28
"2023-04-08 16:00:00";5,69
"2023-04-08 17:00:00";6,51
"2023-04-08 18:00:00";7,26
"2023-04-08 19:00:00";7,76
"2023-04-08 20:00:00";7,95
"2023-04-08 21:00:00";7,46
"2023-04-08 22:00:00";7,38
"2023-04-08 23:00:00";6,41
"2023-04-09 00:00:00";5,49
"2023-04-09 01:00:00";5,75
"2023-04-09 02:00:00";5,82
"2023-04-09 03:00:00";5,78
"2023-04-09 04:00:00";5,83
"2023-04-09 05:00:00";6,03
"2023-04-09 06:00:00";5,89
"2023-04-09 07:00:00";5,74
"2023-04-09 08:00:00";5,83
"2023-04-09 09:00:00";5,83
"2023-04-09 10:00:00";5,82
"2023-04-09 11:00:00";5,5
"2023-04-09 12:00:00";5,48
"2023-04-09 13:00:00";5,27
"2023-04-09 14:00:00";5,41
"2023-04-09 15:00:00";5,31
"2023-04-09 16:00:00";5,37
"2023-04-09 17:00:00";5,42
"2023-04-09 18:00:00";5,76
"2023-04-09 19:00:00";6,27
"2023-04-09 20:00:00";6,58
"2023-04-09 21:00:00";6,24
"2023-04-09 22:00:00";5,78
"2023-04-09 23:00:00";5,49
"2023-04-10 00:00:00";5,07
"2023-04-10 01:00:00";4,15
"2023-04-10 02:00:00";4,09
"2023-04-10 03:00:00";4,24
"2023-04-10 04:00:00";4,4
"2023-04-10 05:00:00";4,58
"2023-04-10 06:00:00";5,02
"2023-04-10 07:00:00";5,36
"2023-04-10 08:00:00";5,32
"2023-04-10 09:00:00";5,49
"2023-04-10 10:00:00";5,29
"2023-04-10 11:00:00";3,02
"2023-04-10 12:00:00";1,49
"2023-04-10 13:00:00";1,45
"2023-04-10 14:00:00";1,1
"2023-04-10 15:00:00";0,19
"2023-04-10 16:00:00";0,24
"2023-04-10 17:00:00";0,46
"2023-04-10 18:00:00";2,81
"2023-04-10 19:00:00";4,24
"2023-04-10 20:00:00";4,92
"2023-04-10 21:00:00";3,97
"2023-04-10 22:00:00";2,88
"2023-04-10 23:00:00";1,65
"2023-04-11 00:00:00";0,33
"2023-04-11 01:00:00";0,16
"2023-04-11 02:00:00";0,11
"2023-04-11 03:00:00";0,08
"2023-04-11 04:00:00";0,12
"2023-04-11 05:00:00";0,69
"2023-04-11 06:00:00";3,65
"2023-04-11 07:00:00";4,3
"2023-04-11 08:00:00";5,13
"2023-04-11 09:00:00";5,96
"2023-04-11 10:00:00";5,8
"2023-04-11 11:00:00";4,4
"2023-04-11 12:00:00";3,48
"2023-04-11 13:00:00";3,4
"2023-04-11 14:00:00";3,18
"2023-04-11 15:00:00";2,82
